Delivery Package,,,,,,,,,
Item ID,Package Name,ICU+Ward,Economy (GEIMS),Double (GEIMS),Single (GEIMS),Classic Deluxe (GEIMS),Suite (GEIMS),PHARMACY,INVESTIGATION
OBSP001,Normal Delivery (NVD), 0+3 ,43200,51800,62200,74600,120000,9000,3000
OBSP002,Twin Delivery Normal (NVD), 0+3 ,58200,66200,78200,90200,150000,12000,3000
OBSP003,Caesarean Section Delivery (LSCS), 0+3 ,57600,69100,82900,99500,190000,15000,3000
OBSP004,Twin Delivery Caesarean (LSCS), 0+3 ,72000,86400,103700,124400,230000,22000,3000
Inclusions,,,,,,,,,
1,"Pharmacy, consumables & investigation upto defined limit",,,,,,,,
2,Baby observation care immediately after delivery in nursery upto 6 hours.,,,,,,,,
3,If Baby stay exceeds 6 hours due to complication then all services including bed charge will be charged on actual as per NICU,,,,,,,,
4,Fetal monitoring charges upto 6 hours.,,,,,,,,
5,"OT/ Labour room charges, procedure changes, surgeon fee charges.",,,,,,,,
6,Obs & Gyne  consult charges.,,,,,,,,
,,,,,,,,,
Exclusions,,,,,,,,,
1,Investigations will be charged extra on actual.,,,,,,,,
2,Pre-anesthesia consult will be charged extra on actual.,,,,,,,,
3,Charges for Epidural (if used) will be extra. ,,,,,,,,
4,"In case of Normal delivery, epidural will be charged 100%.",,,,,,,,
5,"In case Caesarean delivery, epidural will be charged 50% and 100% SA/RA/GA anesthesia.",,,,,,,,
6,Incase epidural fails it shall bewritten by the Gynecologist on OT/activity sheet and will not be charged to the patient.,,,,,,,,
7,PhysioTherapy,,,,,,,,
Note,,,,,,,,,
1,"In case of twin/triple delivery, Baby Care package will be charged to individual Baby and applicable maternity package will be charged.",,,,,,,,
2,Baby care charges will be on actual ,,,,,,,,
2,"In case of high risk, Package will be charged @20% extra ",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
