Surgical Procedures Surgeon fee,,,,,,,
Department,Surgery Id,Service Name,Economy,"Double
","Single/
ICU","Classic 
Deluxe",Suite
Anaethesia,AN01,Central Venous catheterization (Anae),3500,4300,5400,6500,7100
Anaethesia,AN02,Initiation of Ventilator (once only charge) (Anae),1800,2300,2900,3400,3800
Anaethesia,AN03,Inter Costal Nerve Block (Anaes),3500,4300,5400,6500,7100
Anaethesia,AN04,Percutaneous Tracheostomy (Anaes),13800,16800,21300,25600,28100
Cardiac Surgery,CAR01,Aneurysmectomy,40400,48500,58200,69800,76800
Cardiac Surgery,CAR02,Aortic Aneurysm repair (Aneusymoraphy),40400,48500,58200,69800,76800
Cardiac Surgery,CAR03,Aortic Arch Replacement/Descending Thoracic Aorta,40400,116000,139200,167100,183800
Cardiac Surgery,CAR04,AORTIC V REPLACEMENT (Minimally Invasive),44100,52900,63500,76200,83800
Cardiac Surgery,CAR05,Aortic V Replacement + TV Repair,82700,99200,119100,142900,157200
Cardiac Surgery,CAR06,Aortic Valve Replacement(Video Assisted),102000,122400,146900,176300,193900
Cardiac Surgery,CAR07,Ascending Aorta Replacement,51300,61600,73900,88600,97500
Cardiac Surgery,CAR08,ASD CLOSURE / REPAIR (Minimally Invasive),40400,48500,58200,69800,76800
Cardiac Surgery,CAR09,ASD Heart Port Surgery,51300,61600,73900,69800,97500
Cardiac Surgery,CAR10,ASD Repair/Closure,33100,39700,47700,57200,62900
Cardiac Surgery,CAR11,Thoraco Abdominal Aneurysm Repair,44100,52900,63500,76200,83800
Cardiac Surgery,CAR12,Thymectomy (Minimally Invasive),86000,103200,123800,148600,163500
Cardiac Surgery,CAR13,TOF Repair,33100,39700,47700,57200,62900
Cardiac Surgery,CAR14,Tricuspid V Repair,40400,48500,58200,69800,76800
Cardiac Surgery,CAR15,Tripple Valve Repair/Replacement,82700,99200,119100,142900,157200
Cardiac Surgery,CAR16,VSD Closure/Repair,36800,44200,53000,63600,70000
Cardiac Surgery,CAR17,Pericardial drainage procedure,20000,26500,33100,41200,48500
Cardiac Surgery,CAR18,Pulmonary Embolectomy,44100,52900,63500,76200,83800
Cardiac Surgery,CAR19,Lung hydatid cyst excision using VATS,29500,35400,42500,51000,56100
Cardiac Surgery,CAR20,Lung hydatid cyst excision,22000,26800,34100,40900,45000
Cardiac Surgery,CAR21,AVR/MVR + TVR - Redo,51300,61600,73900,88600,97500
Cardiac Surgery,CAR22,AVR+ASCEND/DESC Aorta Wraping/Aortoplasty,96700,116000,139200,167100,183800
Cardiac Surgery,CAR23,Axilo Femoral Bypass,33100,39700,47700,57200,62900
Cardiac Surgery,CAR24,Bentall Procedure,51300,61600,73900,88600,97500
Cardiac Surgery,CAR25,BT Shunt,16200,19400,23300,28000,30800
Cardiac Surgery,CAR26,CABG -,36800,44200,53000,63600,70000
Cardiac Surgery,CAR27,CABG - REDO,51300,61600,73900,88600,97500
Cardiac Surgery,CAR28,CABG (Minimally Invasive),58700,70400,84500,101400,111500
Cardiac Surgery,CAR29,CABG + ASD Closure,44100,52900,63500,76200,83800
Cardiac Surgery,CAR30,CABG + AVR,51300,61600,73900,88600,97500
Cardiac Surgery,CAR31,CABG + BENTALL,51300,61600,73900,88600,97500
Cardiac Surgery,CAR32,CABG + Carotid Endarterectomy,51300,61600,73900,88600,97500
Cardiac Surgery,CAR33,CABG + FEM FEM BYPASS,64500,77400,92900,111500,122700
Cardiac Surgery,CAR34,CABG + LV Aneurysm Repair,51300,61600,73900,88600,97500
Cardiac Surgery,CAR35,CABG + MVR + TV Repair / Aneurysm Repair,51300,61600,73900,88600,97500
Cardiac Surgery,CAR36,CABG + Ring Annuloplasty,44100,52900,63500,76200,83800
Cardiac Surgery,CAR37,CABG + TV Repair,64500,77400,92900,111500,122700
Cardiac Surgery,CAR38,CABG + VSD Closure,44100,52900,63500,76200,83800
Cardiac Surgery,CAR39,CABG with any Valve Repair/Replacement,58700,70400,84500,101400,111500
Cardiac Surgery,CAR40,CABG With ASD Repair,70900,85100,102100,122500,134800
Cardiac Surgery,CAR41,CABG with Double Valve Repair/Replacement - Redo,51300,61600,73900,88600,97500
Cardiac Surgery,CAR42,CABG With DVR,62300,74800,89700,107700,118500
Cardiac Surgery,CAR43,CABG+ LV / LA CLOT REMOVAL,70900,85100,102100,122500,134800
Cardiac Surgery,CAR44,Cabrol Bentall/Aortic Dissections - High Risk ,58700,70400,84500,101400,111500
Cardiac Surgery,CAR45,Carotid Endartectomy,21600,25900,31100,37300,41000
Cardiac Surgery,CAR46,Complex AP window closure,64500,77400,92900,111500,122700
Cardiac Surgery,CAR47,DSO (Complex),33100,39700,47700,57200,62900
Cardiac Surgery,CAR48,DSO (Non Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR49,DVR + TV Repair,44100,52900,63500,76200,83800
Cardiac Surgery,CAR50,Ebstein/Truncus Repair+Cost of Conduit(Extra),29500,35400,42500,51000,56100
Cardiac Surgery,CAR51,Emergency Surgery/CABG/Post MI VSD,86000,103200,123800,148600,163500
Cardiac Surgery,CAR52,EVH,8800,10600,12700,15200,16700
Cardiac Surgery,CAR53,Femoral Bypass,40400,48500,58200,69800,76800
Cardiac Surgery,CAR54,Flail chest fixation + Rib fixation,102000,122400,146900,176300,193900
Cardiac Surgery,CAR55,Heart port Surgery Misc,51300,61600,73900,88600,97500
Cardiac Surgery,CAR56,High Risk ASD Device closure,64500,77400,92900,111500,122700
Cardiac Surgery,CAR57,High Risk ASD Repairs,76800,92200,110600,132700,146000
Cardiac Surgery,CAR58,High Risk CABG + Carotid Endarterectomy,91300,109600,131500,157800,173600
Cardiac Surgery,CAR59,High Risk CABG with Double Valve* Repair/Replacem,102000,122400,146900,176300,193900
Cardiac Surgery,CAR60,High Risk Pericardiectomy(Through Sternotomy),36800,44200,53000,63600,70000
Cardiac Surgery,CAR61,Infant Valvuloplasty/Others (On Pump),44100,52900,63500,76200,83800
Cardiac Surgery,CAR62,Maximal Thymectomy,21600,25900,31100,37300,41000
Cardiac Surgery,CAR63,MICS CABG with EVH,102000,122400,146900,176300,193900
Cardiac Surgery,CAR64,Mitral Valve Repair/AVR,40400,48500,58200,69800,76800
Cardiac Surgery,CAR65,MITRAL VALVE REPLACEMENT (Minimally Invasive),44100,52900,63500,76200,83800
Cardiac Surgery,CAR66,Mitral Valve Replacement + TV Repair,44100,52900,63500,76200,83800
Cardiac Surgery,CAR67,Mitral/Aortic Valve Repair- Replacement,25800,31000,37200,44600,49100
Cardiac Surgery,CAR68,MVR/AVR - Redo,51300,61600,73900,88600,97500
Cardiac Surgery,CAR69,MVR/MV REPAIR (Video Assisted),102000,122400,146900,176300,193900
Cardiac Surgery,CAR70,Myomectomy + MVR,102000,122400,146900,176300,193900
Cardiac Surgery,CAR71,Myxoma LA/RA,40400,48500,58200,69800,76800
Cardiac Surgery,CAR72,PA Plasty on Pump,25800,31000,37200,44600,49100
Cardiac Surgery,CAR73,PDA Ligation Off Pump,12600,15100,18100,21800,24000
Cardiac Surgery,CAR74,PDA Ligation On Pump,18400,22100,26500,31800,35000
Cardiac Surgery,CAR75,PDA Low Risk,40400,48500,58200,69800,76800
Cardiac Surgery,CAR76,Pediatric ASD Repair,25800,31000,37200,44600,49100
Cardiac Surgery,CAR77,Pediatric ASO,29500,35400,42500,51000,56100
Cardiac Surgery,CAR78,Pediatric AV Canal Repair (Non Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR79,Pediatric AV Repair (Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR80,Pediatric Bidirectional Glenn On Pump,25800,31000,37200,44600,49100
Cardiac Surgery,CAR81,Pediatric Coarctation Repair,14000,16800,20200,24200,26600
Cardiac Surgery,CAR82,Pediatric Conduit Repair,29500,35400,42500,51000,56100
Cardiac Surgery,CAR83,Pediatric DORV,29500,35400,42500,51000,56100
Cardiac Surgery,CAR84,Pediatric Fontan (Non Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR85,Pediatric Fontan(Complex),33100,39700,47700,57200,62900
Cardiac Surgery,CAR86,Pediatric MV Repair (Non Complex),25800,31000,37200,44600,49100
Cardiac Surgery,CAR87,Pediatric MV Repair(Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR88,Pediatric PA Banding,14000,16800,20200,24200,26600
Cardiac Surgery,CAR89,Pediatric Senning,33100,39700,47700,57200,62900
Cardiac Surgery,CAR90,Pediatric TAPVC (Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR91,Pediatric TAPVC (Non Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR92,Pediatric TOF (Non Complex),25800,31000,37200,44600,49100
Cardiac Surgery,CAR93,Pediatric TOF/Total Correction(Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR94,Pediatric Valve Repair (Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR95,Pediatric VSD Repair,25800,31000,37200,44600,49100
Cardiac Surgery,CAR96,Periardial Windo (Minimally Invasive),86000,103200,123800,148600,163500
Cardiac Surgery,CAR97,Pericardectomy + CPB (Cardio Pulmonary Bypass),51300,61600,73900,88600,97500
Cardiac Surgery,CAR98,Pericardiectomy,29500,35400,42500,51000,56100
Cardiac Surgery,CAR99,Peripheral bypass surgery,11200,13400,16100,19400,21300
Cardiac Surgery,CAR100,Port Access CABG (Video Assisted),102000,122400,146900,176300,193900
Cardiac Surgery,CAR101,Pulmonary Endarterectomy,44100,52900,63500,76200,83800
Cardiac Surgery,CAR102,Redo-ASD Repairs/Closure,58700,70400,84500,101400,111500
Cardiac Surgery,CAR103,Redo-CABG With Any Valve Repair/Replacement,86000,103200,123800,148600,163500
Cardiac Surgery,CAR104,Redo-Double Valve Repair/Replacements,82700,99200,119100,142900,157200
Cardiac Surgery,CAR105,Repair of LV Aneurysm,64500,77400,92900,111500,122700
Cardiac Surgery,CAR106,Repair Ruptured Aneurysm Sinus of Valsava on CPB,51300,61600,73900,88600,97500
Cardiac Surgery,CAR107,RSOV(RUPTURE OF SINUS OF VALSALVA ANEURYSM),44100,52900,63500,76200,83800
Cardiac Surgery,CAR108,Subaortic Membrane Resection(Complex),29500,35400,42500,51000,56100
Cardiac Surgery,CAR109,Subaortic Membrane Resection(Non Complex),25800,31000,37200,44600,49100
Cardiac Surgery,CAR110,Pericardial Cyst Excision,22000,26800,34100,40900,45000
Cardiac Surgery,CAR111,Pumonary Valvotomy (On Pump),44100,52900,63500,76200,83800
Cardiology,CA01,3D R F Ablation with EPS,22300,26800,32100,38500,42400
Cardiology,CA02,AICD Combo ,35000,42000,50400,60500,66600
Cardiology,CA03,AICD Dule ,25000,30000,36000,43200,47500
Cardiology,CA04,AICD Single ,20000,24000,28800,34600,38100
Cardiology,CA05,Aortic Stent Graft Insertion,25900,31100,37300,44800,49300
Cardiology,CA06,ASD Device closure,18100,21700,26100,31300,34400
Cardiology,CA07,Balloon Mitral Valvuloplasty,19400,23300,27900,33500,36900
Cardiology,CA08,Bi-Ventricular Pacemaker Implantation,19400,23300,27900,33500,36900
Cardiology,CA09,Carotid Angiography,3200,3800,4600,5500,6100
Cardiology,CA10,Carotid Angioplasty,31000,37200,44600,53600,59000
Cardiology,CA11,"Check Angiography
",2600,3100,3700,4500,5000
Cardiology,CA12,Combo device,24000,28800,34600,41500,45700
Cardiology,CA13,Coronary Angiography ,3200,3800,4600,5500,6100
Cardiology,CA14,Coronary plus Carotid Angiography,14400,17300,20700,24900,27400
Cardiology,CA15,Coronary plus Peripheral Angiography,2800,3400,4000,4800,5300
Cardiology,CA16,Coronary plus Renal Angiography,2800,3400,4000,4800,5300
Cardiology,CA17,CRT Device ,30000,36000,43200,51800,57000
Cardiology,CA18,Directional Artherectomy/Rotablator Atherectomy/orbital Artherectomy,35400,42500,51000,61200,67300
Cardiology,CA19,Double Chamber Pacemaker,24000,28800,34600,41500,45700
Cardiology,CA20,Endomyocardial Biopsy,10600,12700,15300,18300,20100
Cardiology,CA21,EPS Basic,3200,3800,4600,5500,6100
Cardiology,CA22,EPS Complete,5800,7000,8400,10000,11000
Cardiology,CA23,Fractional Flow Reserve (FFR),3200,3800,4600,5500,6100
Cardiology,CA24,ICD Procedure charges,22100,26500,31800,38200,42000
Cardiology,CA25,Infant Valvuloplasty / Others (Off Pump),24000,28800,34600,41500,45700
Cardiology,CA26,Leadless Pacemaker,25900,31100,37300,44800,49300
Cardiology,CA27,Optical Coherence Tomography (OCT),3200,3800,4600,5500,6100
Cardiology,CA28,Pacemaker Explantation,10600,12700,15300,18300,20100
Cardiology,CA29,PDA Device Closure,15100,18100,21700,26100,28700
Cardiology,CA30,Peripheral Angiography,3200,3800,4600,5500,6100
Cardiology,CA31,Peripheral Angioplasty(PTA),24000,28800,34600,41500,45700
Cardiology,CA32,Peripheral Arterial  Embolization/Thrombolysis,15100,18100,21700,26100,28700
Cardiology,CA33,Pulse Generator Replacement,15100,18100,21700,26100,28700
Cardiology,CA34,R F Ablation with 3D Mapping,19400,23300,27900,33500,36900
Cardiology,CA35,Renal Angiography,3200,3800,4600,5500,6100
Cardiology,CA36,Renal Angioplasty,24000,28800,34600,41500,45700
Cardiology,CA37,RF Ablation w/out EP,10600,12700,15300,18300,20100
Cardiology,CA38,"RF Ablation with EP
",16800,20200,24200,29000,31900
Cardiology,CA39,Single Chamber Pacemaker,18000,21600,25900,31100,34200
Cardiology,CA40,Surgical Repositioning of Pacemaker leads,39700,47600,57200,68600,75500
Cardiology,CA41,TAVI /TEVAR,39700,47600,57300,68600,75500
Cardiology,CA42,TPI  (Lead Extra),4800,5800,6900,8300,9100
Cardiology,CA43,Valvuloplasty / Others,15100,18100,21700,26100,28700
Cardiology,CA44,VSD Device Closure,15100,18100,21700,26100,28700
Endoscopy,END01,Ampullectomy,82700,99200,119100,142900,157200
Endoscopy,END02,Endoscopic mucosal resection  (EMR) 1 to 2.5 cm,15600,19100,24300,29000,31900
Endoscopy,END03,Endoscopic mucosal resection (EMR) 2.5 to 5 cm,22000,26800,34100,40900,45000
Endoscopy,END04,Endoscopic Oesophageal/ Pharyngeal Diverticulectomy,15600,19100,24300,29000,31900
Endoscopy,END05,Endoscopic submucosal dissection (ESD) 1 to 2.5 cm,15600,19100,24300,29000,31900
Endoscopy,END06,Endoscopic submucosal dissection (ESD) more than 2.5 cm,22000,26800,34100,40900,45000
Endoscopy,END07,ERCP- Nasobiliary drainage,9500,11500,14700,17600,19300
Endoscopy,END08,ERCP Papillotomy,9500,11500,14700,17600,19300
Endoscopy,END09,ERCP+ Percutaneous Transhepatic Cholangiography,15600,19100,24300,29000,31900
Endoscopy,END10,ERCP+Percutaneous Transhepatic Cholangiography,15600,19100,24300,29000,31900
Endoscopy,END11,ERCP-Biliary stent placement,9500,11500,14700,17600,19300
Endoscopy,END12,ERCP-Brushing and biopsy,9500,11500,14700,17600,19300
Endoscopy,END13,ERCP-Diagnostic,9500,11500,14700,17600,19300
Endoscopy,END14,ERCP+ Stone extraction + Stent placement,9500,11500,14700,17600,19300
Endoscopy,END15,ERCP-Liver Biopsy,2300,2800,3500,4300,4700
Endoscopy,END16,ERCP-Mechanical Lithotripsy,9500,11500,14700,17600,19300
Endoscopy,END17,ERCP-Metal stent placement,11900,14600,18500,22200,24400
Endoscopy,END18,ERCP-Minor Papilla sphincterotomy,9500,11500,14700,17600,19300
Endoscopy,END19,ERCP-Nasobiliary drainage,9500,11500,14700,17600,19300
Endoscopy,END20,ERCP+ Stenting,9500,11500,14700,17600,19300
Endoscopy,END21,ERCP-Pancreatic Stone extraction,9500,11500,14700,17600,19300
Endoscopy,END22,ERCP-Papillotomy,11200,13400,16100,19400,21300
Endoscopy,END23,ERCP-Papillotomy+stone extraction,11200,13400,16100,19400,21300
Endoscopy,END24,ERCP-Pseudocyst Drainage,11200,13400,16100,19400,21300
Endoscopy,END25,Peroral Endoscopic Myotomy (POEM),30000,36000,43200,51800,57000
Endoscopy,END26,ERCP Stent removal(OT),9500,11500,14700,17600,19300
Endoscopy,END27,EUS Guided Metal stent placement,13800,16560,20700,22080,26220
ENT,ENT01,Adeno Tonsilectomy with Bilateral Gromet Insertion,13600,16300,19600,23500,25900
ENT,ENT02,Adenoitectomy,6400,7700,9200,11000,12100
ENT,ENT03,Adenotonsillectomy,13600,16300,19600,23500,25900
ENT,ENT04,Adenotonsillectomy - RFA,15200,18200,21900,26200,28800
ENT,ENT05,Anterior Nasal Packing (Bilateral),4800,5800,6900,8300,9100
ENT,ENT06,Anterior Nasal Packing (Unilateral)  (ENT),4000,4800,5800,6900,7600
ENT,ENT07,Anterior Nasal Packing with Cauterization,5600,6700,8100,9700,10700
ENT,ENT08,Aspiration & Drainage with Pressure Bandage Haematoma Pinna,9600,11500,13800,16600,18300
ENT,ENT09,Atticotomy,12000,14400,17300,20700,22800
ENT,ENT10,Aural Polypectomy,4800,5800,6900,8300,9100
ENT,ENT11,Myringotomy (bilateral),6000,7200,8600,10400,11400
ENT,ENT12,Myringotomy (Unilateral),4500,5400,6500,7800,8600
ENT,ENT13,Nasal Endoscopy,4500,5400,6500,7800,8600
ENT,ENT14,Nasal Endoscopy (Diagnostic),4000,4800,5800,6900,7600
ENT,ENT15,Nasal Endoscopy with Biopsy,5000,6000,7200,8600,9500
ENT,ENT16,Nasopharyngoscopy,5000,6000,7200,8600,9500
ENT,ENT17,Nasopharyngoscopy with Biopsy,5500,6600,7900,9500,10500
ENT,ENT18,Open reduction fracture nasal bone,19000,22800,27400,32800,36100
ENT,ENT19,Oral Biopsy,6000,7200,8600,10400,11400
ENT,ENT20,Ossiculoplasty,22000,26400,31700,38000,41800
ENT,ENT21,B/L Anterior & Posterior Nasal packing,6400,7700,9200,11000,12100
ENT,ENT22,Partial Glossectomy (ENT),20000,24000,28800,34600,38100
