Item ID,Item Name,,Economy,Double,"Single/
ICU","Classic 
Deluxe",Suite,,,,
GA001,Attendant / Visitor Pass Deposit,,300,300,300,300,300,,,,
GA002,Catheter Removal by Nursing,,100,100,100,100,100,,,,
GA003,Dressing Charges – Medium (Nursing),,510,510,510,510,510,,,,
GA004,Dressing Charges – Small (Nursing),,190,190,190,190,190,,,,
GA005,Duplicate / Photocopy of MRD File,,300,300,300,300,300,,,,
GA006,Duplicate Card (Birth/Others),,200,200,200,200,200,,,,
GA007,EMO fee,,350,350,350,350,350,,,,
GA008,Injection Administration Charges,,50,50,50,50,50,,,,
GA009,IV Cannulation (Nursing),,150,150,150,150,150,,,,
GA010,Medical Evaluation for TPA,,300,300,300,300,300,,,,
GA011,Medical History Assessment,,450,450,450,450,450,,,,
GA012,MLC Charges,,500,500,500,500,500,,,,
GA013,Nebulisation Charges (Nursing),,120,120,120,120,120,,,,
GA014,Registration Charge,,100,100,100,100,100,,,,
GA015,RMO Fees,,700,800,800,800,3000,,,,
GA016,Ryles Tube Insertion (Nursing),,500,500,500,500,500,,,,
GA017,Test Analysis report in CD form,,500,500,500,500,500,,,,
GA018,Wifi Charges Per Day,,300,300,300,300,300,,,,
GA019,Epidural Injection Procedure Charges(Obstetrics and Gynaecology),,12000,12000,12000,12000,12000,,,,
GA020,CVP line insertion,,600,600,600,600,600,,,,
GA021,Barber Service,,100,100,100,100,100,,,,
GA022,Mortuary Charges - 24 HRS,,2000,2000,2000,2000,2000,,,,
GA023,Waiting Lounge - Couch Charges,,500,500,500,500,500,,,,
GA024,CT/MRI - Extra Per Film,,200,200,200,200,200,,,,
GA025,Home Collection Visit Charges,,100,100,100,100,100,,,,
GA026,ILS injection Per Sitting,,500,500,500,500,500,,,,
GA027,Medical Fitness Certificate,,200,200,200,200,200,,,,
GA028,Patient Uniform,,575,575,575,575,575,,,,
GA029,Random Blood Sugar (Glucometer),,80,80,80,80,80,,,,
GA030,Room Retainment charges per day,,5600,8300,11900,,,,,,
GA031,USG Extra Film,,150,150,150,150,150,,,,
GA032,X-Ray Extra Film,,150,150,150,150,150,,,,
GA033,General Duty Assistant(GDA) (12Hours),,500,500,500,500,500,,,,
GA034,General Duty Assistant (24Hours),,1000,1000,1000,1000,1000,,,,
AM001,ACLS -Ambulance with Doctor and Staff (Within 15 KM),,6000,6000,6000,6000,6000,,,,
AM002,ACLS -Ambulance with Doctor and Staff (Above 15 KM)Per Km,,50,50,50,50,50,,,,
AM003,Ambulance Service (ACLS) upto 15 KM With Nursing Staff,,4000,4000,4000,4000,4000,,,,
AM004,Ambulance ACLS (Above 15 KM)-Per Km,,45,45,45,45,45,,,,
AM005,Ambulance Service (BLS) upto 15 KM (without Doctor)),,1200,1200,1200,1200,1200,,,,
AM006,Ambulance BLS (Above 15 KM)-Per Km,,20,20,20,20,20,,,,
AM007,Mini - Ambulance(Starting 15 KM),,800,800,800,800,800,,,,
AM008,Mini - Ambulance(Above 15 KM)per KM,,18,18,18,18,18,,,,
AM009,Oxygen therapy /Nebulisation(Per Hours),,100,100,100,100,25,,,,
AM010,Ambulance Service (ACLS) upto 15 KM With GDA,,3000,3000,3000,3000,3000,,,,
AM011,Ambulance Charges Per KM,,18,18,18,18,18,,,,
AN001,Arterial Cannulation,,1150,1150,1150,1150,1150,,,,
AN002,Arterial Line,,650,650,650,650,650,,,,
AN003,Central Venous Catheterization,,650,650,650,650,650,,,,
AN004,Endotracheal Intubation,,1500,1500,1500,1500,1500,,,,
AN005,Epidural Injection / Caudal Block,,2400,2400,2400,2400,2400,,,,
AN006,Epidural/intrathecal infusions Trail,,8250,8250,8250,8250,8250,,,,
AN007,Femoral Line,,2400,2400,2400,2400,2400,,,,
AN008,Intravenous Cannulation,,630,630,630,630,630,,,,
AN009,Fiberoptic Nasal /Oral intubation procedure charges,,4000,4000,4000,4000,4000,,,,
AN010,Video Laryngoscopic intubation procedure charges,,1000,1000,1000,1000,1000,,,,
AN011,Anaethesia Charges LA(Procedure),,2000,2000,2000,2000,2000,,,,
AN012,Anaethesia Charges GA(Procedure),,3000,3000,3000,3000,3000,,,,
AN013,Intravenous Ketamine infusion,,1300,1300,1300,1300,1300,,,,
AN014,IV Cannulation (Doctor),,610,610,610,610,610,,,,
AN015,IVRA/Intravenous infusion,,2550,2550,2550,2550,2550,,,,
AN016,Labour Analgesia.,,7900,7900,7900,7900,7900,,,,
AN017,Lumbar Drain,,3800,3800,3800,3800,3800,,,,
AN018,Lumbar Puncture,,2700,3200,3900,3700,3150,,,,
AN019,Mid line Catheterisation,,1850,1850,1850,1850,1850,,,,
AN020,Nerve Block Deep (Multiple),,4350,4350,4350,4350,4350,,,,
AN021,Nerve Block Deep (Single),,3700,3700,3700,3700,3700,,,,
AN022,Nerve Block Superficial (Single),,3250,3250,3250,3250,3250,,,,
AN023,Nerve Blocks Superficial (Multiple),,3700,3700,3700,3700,3700,,,,
AN024,Parenteral Sedation Level 1 (Anaes),,2500,2500,2500,2500,2500,,,,
AN025,Peripherally Inserted Central Venous Cannulation,,1500,1500,1500,1500,1500,,,,
AN026,Ryles tube insertion (Children),,500,500,500,500,500,,,,
AN027,Tracheostomy Tube Change,,1250,1250,1250,1250,1250,,,,
AN028,Tracheostomy Removal,,810,810,810,810,810,,,,
AN029,Trigger Point Injections (Single),,3250,3250,3250,3250,3250,,,,
AN030,"Intubation Cannulation, Ventilation,(One time)",,4200,4200,4200,4200,4200,,,,
AN031,Ultrasound Anesthesia Procedure charges,,1000,1000,1000,1000,1000,,,,
AN032,Bed Side PAC - Pre Anesthesia Checkup,,500,500,500,500,500,,,,
AN033,Central Line,,650,650,650,650,650,,,,
AN034,NICU - Ventilator Charges - Per Day,,1000,1000,1000,1000,1000,,,,
AN035,PAC - Pre Anesthesia Checkup,,300,300,300,300,300,,,,
AN036,Review PAC - Pre Anesthesia Checkup,,200,200,200,200,200,,,,
AN037,Level 1 (Anaesthesia charges),,2200,2200,2200,2200,2200,,,,
AS001,"Speech Audiometry ( SRT, SDS,SDT)",,700,700,700,700,700,,,,
AS002,Speech and Language Therapy - Per Session,,700,700,700,700,700,,,,
AS003,Speech Therapy - (Package of 10 sittings),,5550,5550,5550,5550,5550,,,,
AS004,Speech Assessment - ENT,,500,500,500,500,500,,,,
AS005,Speech and Language Assessment,,1000,1000,1000,1000,1000,,,,
BB001,Aliquot Charges-One,,500,500,500,500,500,,,,
BB002,Autologous PRP Therapy,,500,500,500,500,500,,,,
BB003,Blood Grouping (Mother),,350,350,350,350,350,,,,
BB004,Blood Grouping for Patient,,350,350,350,350,350,,,,
BB005,CPP for INTAS(Per Litre),,3250,3250,3250,3250,3250,,,,
BB006,Cross Matching Charges,,600,600,600,600,600,,,,
BB007,Cryoprecipitate Processing charges,,400,400,400,400,400,,,,
