Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
1,Albert Stain- Other Specimen,550,550,550,550,550
2,Albert Stain- Throat Swab,550,550,550,550,550
3,Culture & Sensitivity - Wound Swab,680,,,,
4,Culture & Sensitivity- Ascitic Fluid,1100,1100,1100,1100,1100
5,Culture & Sensitivity- Blood,950,950,950,950,950
6,Culture & Sensitivity- Bronchoalveolar Lavage (BAL),900,900,900,900,900
7,Culture & Sensitivity- CSF,1100,1100,1100,1100,1100
8,Culture & Sensitivity- ET Secretions,900,900,900,900,900
9,Culture & Sensitivity- High Vaginal Swab,800,800,800,800,800
10,Culture & Sensitivity- Other Specimen,800,800,800,800,800
11,Culture & Sensitivity- Paired Blood,1200,1200,1200,1200,1200
12,Culture & Sensitivity- Pericardial Fluid,1100,1100,1100,1100,1100
13,Culture & Sensitivity- Pleural Fluid,1100,1100,1100,1100,1100
14,Culture & Sensitivity- Pus,800,800,800,800,800
15,Culture & Sensitivity- Semen,800,800,800,800,800
16,Culture & Sensitivity- Sputum,900,900,900,900,900
17,Culture & Sensitivity- Stool,900,900,900,900,900
18,Culture & Sensitivity- Synovial Fluid,1100,1100,1100,1100,1100
19,Culture & Sensitivity- Throat Swab,900,900,900,900,900
20,Culture & Sensitivity- Tissue,800,800,800,800,800
21,Culture & Sensitivity- Tracheal Secretions,900,900,900,900,900
22,Culture & Sensitivity- Urine,550,550,550,550,550
23,Gram Stain- Ascitic Fluid,350,350,350,350,350
24,Gram Stain- Bronchoalveolar Lavage (BAL),350,350,350,350,350
25,Gram Stain- CSF,350,350,350,350,350
26,Gram Stain- ET Secretions,350,350,350,350,350
27,Gram Stain- Other Specimen,350,350,350,350,350
28,Gram Stain- Pericardial Fluid,350,350,350,350,350
29,Gram Stain- Pleural Fluid,350,350,350,350,350
30,Gram Stain- Pus,350,350,350,350,350
31,Gram Stain- Sputum,350,350,350,350,350
32,Gram Stain- Synovial Fluid,350,350,350,350,350
33,Gram Stain- Throat Swab,350,350,350,350,350
34,Gram Stain- Tissue,350,350,350,350,350
35,Gram Stain- Tracheal Secretions,350,350,350,350,350
36,Gram Stain- Urine,350,350,350,350,350
37,MANTOUX TEST,240,240,240,240,240
38,Modified AFB Stain- Stool,550,550,550,550,550
39,Nasal Swab for MRSA,650,650,650,650,650
40,Smear for Gonococcus,350,350,350,350,350
41,17 HYDROXY PROGESTRONE,1500,1500,1500,1500,1500
42,24 Hour Urine - Urea,180,,,,
43,"24 Hours Urine , Protein / Creatinine Ratio",700,,,,
44,24 hr Urine - Phosphorus,325,,,,
45,24 Hrs Chloride,280,280,280,280,280
46,24 Hrs Urine - Citrate (C),1000,,,,
47,24 Hrs URINE  CREATININE,500,500,500,500,500
48,24 Hrs Urine - Oxalate ( C ),2200,,,,
49,24 Hrs URINE CALCIUM,365,365,365,365,365
50,24 Hrs Urine for Copper (C),2200,2200,2200,2200,2200
51,24 Hrs URINE MICROALBUMINURIA,700,700,700,700,700
52,24 Hrs URINE POTASSIUM,300,300,300,300,300
53,24 Hrs URINE PROTEIN,300,300,300,300,300
54,24 Hrs URINE SODIUM,300,300,300,300,300
55,24 Hrs URINE VANILLYL MANDELIC ACID (VMA),4000,4000,4000,4000,4000
56,24H Urine Albumin,300,300,300,300,300
57,5 - Hydroxyindoleacetic Acid ( 5 - HIAA ) - 24 - Hour Urine ( C ),3800,,,,
58,"Adenosine Deaminase ( ADA), CSF",700,700,700,700,700
59,"Adenosine Deaminase ( ADA), Serum",700,700,700,700,700
60,"Adenosine Deaminase (ADA), Body fuids",700,700,700,700,700
61,ADIPONECTIN,3500,3500,3500,3500,3500
62,ADRENO CORTICOTROPHIC HORMONE - ACTH,1950,1950,1950,1950,1950
63,Adrenocorticotropic Hormone (ACTH),1700,1700,1700,1700,1700
64,"Albumin, Serum",120,120,120,120,120
65,Aldosterone / Plasma Renin Activity,7700,,,,
66,"Alkaline Phosphatase , Serum",150,150,150,150,150
67,AMINO ACIDS QUALITATIVE - URINE,2500,2500,2500,2500,2500
68,"AMMONIA, Plasma",1000,1000,1000,1000,1000
69,"AMYLASE , Body fluid",550,550,550,550,550
70,"Amylase, Serum",430,430,430,430,430
71,ANDROSTENEDIONE,2000,2000,2000,2000,2000
72,Anit Cardiolipin Antibodies - IgG & IgM - (C),1650,,,,
73,ANTI DIURETIC HORMONE - VASOPRESSIN,6000,6000,6000,6000,6000
74,Antiphospholipid Antibodies (APLA),7000,,,,
75,APOLIPOPROTEIN - A1,650,650,650,650,650
76,APOLIPOPROTEIN - B,650,650,650,650,650
77,Autoimmune Hepatitis Plus Panel (C),9700,,,,
78,"Bence Jones Protein, Urine",400,400,400,400,400
79,BETA CELL FUNCTION,350,350,350,350,350
80,"Beta hCG free, serum",1200,1200,1200,1200,1200
81,"Beta hCG Total, serum",650,650,650,650,650
82,BETA HYDROXY BUTYRATE KETONE,3100,3100,3100,3100,3100
83,Bicarbonate,200,200,200,200,200
84,BILE SALT,30,30,30,30,30
85,"Bilirubin Direct, Serum",120,120,120,120,120
86,"Bilirubin Total and Direct, Serum",200,200,200,200,200
87,"Bilirubin Total, Serum",120,120,120,120,120
88,Blood Sugar Fasting,80,80,80,80,80
89,Blood Sugar PP,80,80,80,80,80
90,Blood Sugar Random,80,80,80,80,80
91,Blood Urea Nitrogen (BUN),150,150,150,150,150
92,CALCITONIN,2500,2500,2500,2500,2500
93,Calcium - Spot Urine,150,,,,
94,"Calcium, Serum",180,180,180,180,180
95,"Carbamazepine, Serum- (C)",1100,,,,
96,Catecholamines Adrenaline and Noradrenaline ( Urine ) - ( C ),7500,,,,
97,CERULOPLASMIN,1300,1500,1500,1500,1500
98,Chloride,170,170,170,170,170
99,"Chloride, Spot Urine",280,280,280,280,280
100,CHOLINESTERASE,600,600,600,600,600
101,"Chromogranin A , CGA  - Serum",8300,,,,
102,"CK MB, Serum",700,700,700,700,700
103,COPPER,1650,1650,1650,1650,1650
104,CORTISOL,660,660,660,660,660
105,Cortisol - Free Urine 24 hrs,1100,,,,
106,"Creatine Kinase (CK), Serum",400,400,400,400,400
107,Creatine Phosphokinase (CPK)/Creatine Kinase (CK) :-CGHS -1490,700,,,,
108,Creatinine Clearance Test,600,,,,
109,"Creatinine, Serum",150,150,150,150,150
110,Cryoglobulins Screening Qualitative ( UL2028 ),1250,,,,
111,"Cyclosporine , C0 ( Before Dose ) - (C)",2950,,,,
112,"Cyclosporine , C2 ( After dose) - (C)",2950,,,,
113,CYSTATIN C LEVEL,1550,1550,1550,1550,1550
114,DEHYDROEPIANDROSTERONE SULPHATE - DHEA SO4,1300,1300,1300,1300,1300
115,Digoxin Lanoxin Level (C),1200,,,,
116,Drug Allergy Panel (C),4000,,,,
117,DUAL MARKER TEST,2400,2500,2500,2500,2500
118,"Electrolytes, Serum",450,450,450,450,450
119,ELECTROPHORESIS OF SERUM PROTEINS,950,950,950,950,950
120,Erythropoietin (EPO),2000,2000,2000,2000,2000
121,ESTRADIOL - 3rd GENERATION,700,700,700,700,700
122,"Ferritin, Serum",600,600,600,600,600
123,Fluid Bilirubin,250,,,,
124,Fluid Creatinine,250,,,,
125,Fluid LDH,400,,,,
126,Fluid Triglycerides,250,,,,
127,"Folate (Folic acid), Serum",1200,1200,1200,1200,1200
128,"Follicle- Stimulating Hormone (FSH), Serum",750,750,750,750,750
129,FREE BETA - hCG,950,950,950,950,950
130,FREE LIGHT CHAIN KAPPA / LAMDA,4900,4900,4900,4900,4900
131,Free PSA,950,,,,
132,FREE TESTOSTERONE,2000,2000,2000,2000,2000
133,"Free Thyroid profile, Serum",650,650,650,650,650
134,FRUCTOSAMINE,625,625,625,625,625
135,G6 PDH,1000,1000,1000,1000,1000
136,"Gamma GT, Serum",200,200,200,200,200
137,GASTRIN,1650,1650,1650,1650,1650
138,GGTP - Gamma-Glutamyl Transpeptidase,370,,,,
139,Globulin,200,,,,
140,GLOMERULAR FILTRATION RATE - eGFR,150,150,150,150,150
141,Glucose Challenge Test,200,200,200,200,200
142,GLUCOSE TOLERANCE TEST - GTT,320,320,320,320,320
143,GROWTH HORMONE,1000,1000,1000,1000,1000
144,Growth Hormone Stimulation Test,3850,,,,
145,"Haptoglobin , Serum - (C)",2250,,,,
146,Heavy And Trace Metals Profile - (C),12500,,,,
147,High-Density Lipoprotein - HDL,300,300,300,300,300
148,HOMOCYSTEINE,1570,1570,1570,1570,1570
